11:37:40.864462 config: drop-rate=0.20, max-delay=10ms, seed=1
20:14:52.339734 [queue=0] packet #2, 127.0.0.1:55962 -> 127.0.0.1:8080, sz=9 is delivered
20:14:57.338972 [queue=1] packet #2, 127.0.0.1:55962 -> 127.0.0.1:8080, sz=9 is delayed for 8.7ms
20:14:57.348437 [queue=0] packet #2, 127.0.0.1:55962 -> 127.0.0.1:8080, sz=9 is delivered
20:15:02.343027 [queue=1] packet #2, 127.0.0.1:55962 -> 127.0.0.1:8080, sz=9 is delayed for 9ms
20:15:02.352589 [queue=0] packet #2, 127.0.0.1:55962 -> 127.0.0.1:8080, sz=9 is delivered
20:15:07.347001 [queue=1] packet #2, 127.0.0.1:55962 -> 127.0.0.1:8080, sz=9 is delayed for 4.1ms
20:15:07.351833 [queue=0] packet #2, 127.0.0.1:55962 -> 127.0.0.1:8080, sz=9 is delivered
20:17:07.988234 config: drop-rate=0.20, max-delay=10ms, seed=1
20:17:07.988781 router is listening at :3000
20:17:15.699934 [queue=1] packet #2, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=9 is delayed for 8.7ms
20:17:15.709480 [queue=0] packet #2, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=9 is delivered
20:17:15.718449 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:49672, sz=17 is delayed for 5.9ms
20:17:15.725609 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:49672, sz=17 is delivered
20:17:15.727397 [queue=1] packet #4, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=17 is delayed for 1.8ms
20:17:15.729936 [queue=0] packet #4, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=17 is delivered
20:17:20.719983 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:49672, sz=17 is dropped
20:17:20.730961 [queue=0] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is dropped
20:17:25.736050 [queue=0] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is dropped
20:17:30.740410 [queue=1] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delayed for 9.4ms
20:17:30.750676 [queue=0] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delivered
20:17:35.744273 [queue=1] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delayed for 6.2ms
20:17:35.751577 [queue=0] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delivered
20:17:40.748505 [queue=1] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delayed for 2.8ms
20:17:40.759471 [queue=0] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delivered
20:17:45.749625 [queue=1] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delayed for 1.1ms
20:17:45.751007 [queue=0] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delivered
20:17:50.750829 [queue=1] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delayed for 3.7ms
20:17:50.755160 [queue=0] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delivered
20:17:55.754805 [queue=1] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delayed for 9.5ms
20:17:55.765551 [queue=0] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delivered
20:18:00.759055 [queue=1] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delayed for 2.8ms
20:18:00.762282 [queue=0] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delivered
20:18:05.760968 [queue=1] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delayed for 4.7ms
20:18:05.767020 [queue=0] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delivered
20:18:10.764955 [queue=1] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delayed for 8.7ms
20:18:10.776160 [queue=0] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delivered
20:18:15.771122 [queue=1] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delayed for 9ms
20:18:15.789861 [queue=0] packet #0, 127.0.0.1:49672 -> 127.0.0.1:8080, sz=31 is delivered
20:23:25.154412 [queue=1] packet #2, 127.0.0.1:61877 -> 127.0.0.1:8080, sz=9 is delayed for 4.1ms
20:23:25.159858 [queue=0] packet #2, 127.0.0.1:61877 -> 127.0.0.1:8080, sz=9 is delivered
20:23:30.160517 [queue=0] packet #2, 127.0.0.1:61877 -> 127.0.0.1:8080, sz=9 is dropped
20:23:35.165325 [queue=0] packet #2, 127.0.0.1:61877 -> 127.0.0.1:8080, sz=9 is dropped
20:23:40.169181 [queue=1] packet #2, 127.0.0.1:61877 -> 127.0.0.1:8080, sz=9 is delayed for 2.9ms
20:23:40.172390 [queue=0] packet #2, 127.0.0.1:61877 -> 127.0.0.1:8080, sz=9 is delivered
20:23:45.174003 [queue=0] packet #2, 127.0.0.1:61877 -> 127.0.0.1:8080, sz=9 is dropped
20:23:50.179572 [queue=1] packet #2, 127.0.0.1:61877 -> 127.0.0.1:8080, sz=9 is delayed for 3.1ms
20:23:50.183720 [queue=0] packet #2, 127.0.0.1:61877 -> 127.0.0.1:8080, sz=9 is delivered
20:24:37.662443 config: drop-rate=0.20, max-delay=10ms, seed=1
20:24:37.663116 router is listening at :3000
20:24:45.940127 [queue=1] packet #2, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=9 is delayed for 8.7ms
20:24:45.949885 [queue=0] packet #2, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=9 is delivered
20:24:45.950386 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:57660, sz=17 is delayed for 5.9ms
20:24:45.957970 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:57660, sz=17 is delivered
20:24:45.958468 [queue=1] packet #4, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=17 is delayed for 1.8ms
20:24:45.960948 [queue=0] packet #4, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=17 is delivered
20:24:50.954882 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:57660, sz=17 is dropped
20:24:50.963894 [queue=0] packet #0, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=31 is dropped
20:24:55.968079 [queue=0] packet #0, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=31 is dropped
20:25:00.972378 [queue=1] packet #0, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=31 is delayed for 9.4ms
20:25:00.982590 [queue=0] packet #0, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=31 is delivered
20:25:05.976559 [queue=1] packet #0, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=31 is delayed for 6.2ms
20:25:05.984571 [queue=0] packet #0, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=31 is delivered
20:25:10.980426 [queue=1] packet #0, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=31 is delayed for 2.8ms
20:25:10.984169 [queue=0] packet #0, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=31 is delivered
20:25:15.984620 [queue=1] packet #0, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=31 is delayed for 1.1ms
20:25:15.986334 [queue=0] packet #0, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=31 is delivered
20:25:20.990365 [queue=1] packet #0, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=31 is delayed for 3.7ms
20:25:20.994464 [queue=0] packet #0, 127.0.0.1:57660 -> 127.0.0.1:8080, sz=31 is delivered
20:25:39.738949 config: drop-rate=0.00, max-delay=10ms, seed=1
20:25:39.740124 router is listening at :3000
20:25:53.813548 [queue=1] packet #2, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=9 is delayed for 8.7ms
20:25:53.823893 [queue=0] packet #2, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=9 is delivered
20:25:53.824578 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:56126, sz=17 is delayed for 5.9ms
20:25:53.831960 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:56126, sz=17 is delivered
20:25:53.833254 [queue=1] packet #4, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=17 is delayed for 1.8ms
20:25:53.835491 [queue=0] packet #4, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=17 is delivered
20:25:58.838282 [queue=1] packet #0, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=31 is delayed for 4ms
20:25:58.843153 [queue=0] packet #0, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=31 is delivered
20:26:03.840765 [queue=1] packet #0, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=31 is delayed for 0s
20:26:03.841033 [queue=0] packet #0, 127.0.0.1:56126 -> 127.0.0.1:8080, sz=31 is delivered
